Duration (in seconds),Finished,Recorded Date,Response ID,Location Latitude,Location Longitude,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10
461,TRUE,3/3/22 14:09,R_tLPD7qwzx2WhkY1,51.55490112,0.052902222,20,0,70,10,40,45,81,35,40,81
336,TRUE,3/14/22 10:21,R_3FLJQxpG65xXNJi,51.61419678,-0.147506714,29,0,74,12,37,40,80,37,37,30
246,TRUE,11/11/22 11:54,R_2Ui2K4NNLPWkqoz,52.6494,-1.1203,20,96,86,18,67,84,80,33,70,65
288,TRUE,11/16/22 11:50,R_2zHftWFRTfR2f5h,51.5164,-0.093,54,48,80,18,40,45,81,40,83,71
248,TRUE,11/16/22 11:50,R_1mKmeOBi3AJLJKK,51.5164,-0.093,25,95,86,13,34,65,81,39,82,65
407,TRUE,11/16/22 11:52,R_RIaQfqAkQlA0qLn,51.5164,-0.093,30,80,90,15,80,90,85,30,70,75
396,TRUE,11/16/22 11:53,R_2uERumLHUGjFeqR,51.5164,-0.093,30,58,45,56,41,47,76,40,42,50
443,TRUE,11/16/22 11:54,R_2Sk5qxucoOgeG8O,51.5164,-0.093,10,35,25,10,40,40,75,35,30,50
184,TRUE,11/16/22 11:54,R_79SZhvpvDsaWHhD,51.5095,-0.0955,20,90,100,13,40,90,85,30,75,74
289,TRUE,11/16/22 11:54,R_2QYsZgO0V7hulqb,48.8582,2.3387,22,100,81,12,44,48,69,39,39,82
455,TRUE,11/16/22 11:55,R_1FODYmUzVhGgBow,51.5164,-0.093,34,90,90,16,40,40,82,45,70,65
389,TRUE,11/16/22 11:57,R_3k0w3ZMvg7gyxYA,51.5095,-0.0955,25,91,89,17,37,43,83,39,61,67
240,TRUE,11/16/22 11:58,R_xAcgEIrSJMK42Hf,51.5095,-0.0955,20,80,60,12,33,45,80,40,60,65
345,TRUE,11/16/22 11:58,R_2U3GMIVdZnQZjSE,51.5095,-0.0955,24,92,85,15,30,45,71,33,67,72
294,TRUE,11/16/22 11:59,R_1ISFdV6aXMOaorR,51.5095,-0.0955,30,95,90,22,35,43,81,32,69,43
550,TRUE,11/16/22 11:59,R_1hRst0JJ8OqMXBX,55.9552,-3.2,50,91,92,16,32,46,80,43,62,40
482,TRUE,11/16/22 11:59,R_2sXYpdR8cqZQ9IJ,51.5095,-0.0955,30,90,100,12,45,48,81,33,61,76
899,TRUE,11/16/22 11:59,R_riNJgxTkeSEOhr3,51.5164,-0.093,25,100,100,17,42,87,80,33,67,60
500,TRUE,11/16/22 12:00,R_264S0ye5ksmsqmw,51.5095,-0.0955,20,30,40,20,30,50,85,45,67,74
439,TRUE,11/16/22 12:02,R_OGUuJYVEtXeFgQN,51.5095,-0.0955,25,70,78,37,41,47,83,38,60,62
3387,TRUE,11/16/22 20:07,R_3fUegUZ8k7y5rrS,51.4805,-0.0113,25,1,60,15,40,45,75,40,75,75
247,TRUE,2/24/23 13:48,R_3OrAqFrQSKv5Mve,51.5269,-0.0991,50,1,20,15,35,45,10,50,81,75
239,TRUE,2/25/23 19:33,R_2S7DM9TC9WKwz6G,51.5329,-0.005,30,41,51,35,42,45,79,24,24,30
181,TRUE,2/27/23 16:44,R_1ib82lFIV8V64OJ,51.5878,0.015,30,35,27,15,35,45,75,30,36,29
925,TRUE,2/27/23 23:43,R_26bWM1zLXo7Ewu7,51.5598,-0.0096,40,100,100,20,40,45,75,50,65,70
438,TRUE,2/27/23 23:55,R_2uE767oIKM2vqo9,51.4469,0.0509,42,50,100,20,45,45,80,40,40,45
167,TRUE,3/22/23 12:02,R_10wtb7JnknO18zM,51.3997,-0.2515,45,25,100,20,40,45,80,25,40,40
344,TRUE,3/23/23 13:49,R_YRECHn7foQ1zT2N,51.5269,-0.0991,15,20,25,15,45,46,35,15,30,20
310,TRUE,3/27/23 21:51,R_2uZCmqwjcNoUbRC,51.5597,-0.0528,40,20,16,20,33,46,15,31,19,19
234,TRUE,4/15/23 17:54,R_0Do9OIpmPMkffMt,51.4986,0.0441,80,40,20,20,40,45,15,15,5,10
305,TRUE,2/27/24 12:49,R_84MYFxxVzBj7CFy,51.9276,-0.4968,20,23,67,10,43,40,86,58,50,44
101,TRUE,3/25/24 12:24,R_7pN7rYsxbZHyMuZ,51.9289,-0.4675,50,80,65,70,86,73,89,77,94,66
277,TRUE,2/18/25 12:06,R_2Cs9zqUAjPoEm1X,52.6494,-1.1203,34,93,81,18,65,82,78,38,65,65
468,TRUE,2/19/25 19:05,R_2oA0ycoxvMxMYSx,51.4674,-0.3556,35,51,100,81,40,45,71,46,61,56
276,TRUE,2/21/25 15:50,R_82J10srXg9n5g6K,51.5005,-0.1905,20,44,39,25,45,47,85,43,76,78
285,TRUE,2/25/25 18:56,R_8CMNVog1r2RAfh7,51.5017,-0.0617,30,100,91,62,39,45,82,83,40,62
234,TRUE,3/5/25 5:53,R_8LYCPxCAbyWkWtR,51.6141,-0.3362,20,80,80,12,45,44,80,30,20,20
311,TRUE,3/5/25 16:33,R_25pkBswP5ivsHCx,52.894,-1.4236,20,15,10,20,40,45,80,40,20,20
1209,TRUE,3/11/25 22:27,R_2EMZzqL8dQpMT0V,51.536,-0.0925,43,84,54,33,43,47,82,42,45,67
1996,TRUE,3/11/25 23:03,R_2aQ66Q9JnSNFOn9,51.5783,-0.1954,25,28,43,60,45,46,63,41,40,30
874,TRUE,12/10/25 23:24,R_8chYpUywr5Ig9Xv,52.4486,-1.5499,40,90,90,20,40,45,60,45,75,75
684,TRUE,12/11/25 7:11,R_8hcfckv0FbaYJ57,51.5975,-0.1915,50,20,30,30,60,44,80,40,65,65
706,TRUE,12/11/25 9:12,R_2z1XFnOpxZIkFUt,51.5327,-0.0996,34,100,83,36,82,84,76,47,64,71
812,TRUE,12/11/25 9:23,R_21hpeSZxxs3MdVA,51.5327,-0.0996,50,85,90,17,42,47,80,43,67,66
576,TRUE,12/11/25 10:15,R_2N4UCxHDug9uxuF,51.5327,-0.0996,25,51,50,29,43,29,70,30,65,56
12521,TRUE,12/11/25 10:20,R_2r0Jahz3YfoZHrz,52.382,-1.5874,50,90,50,20,80,80,75,40,60,60
1676,TRUE,12/11/25 10:54,R_8eQCUZnjY7qh16g,51.5327,-0.0996,19,85,76,15,35,82,77,28,65,71
340,TRUE,12/11/25 10:56,R_8OqV5qi17r7xoLS,51.5327,-0.0996,33,90,95,17,50,70,81,46,66,73
377,TRUE,12/11/25 10:58,R_85ycp2CpfaKYkaN,51.5327,-0.0996,30,93,89,17,40,47,76,50,24,25
448,TRUE,12/11/25 10:58,R_8Yy11n0BoyAoGMM,51.5327,-0.0996,25,67,100,17,40,45,75,34,40,35
431,TRUE,12/11/25 11:00,R_8Fz9dCbE4ZGAoDq,51.5327,-0.0996,25,91,100,17,40,45,75,50,66,66
318,TRUE,12/11/25 11:02,R_8tG8JNxy7AvcA93,51.5327,-0.0996,25,85,90,50,60,37,80,35,65,81
514,TRUE,2/3/26 9:32,R_2dE2e04rzEHRE3K,51.5327,-0.0996,25,96,96,15,40,71,81,40,61,81
550,TRUE,2/3/26 10:45,R_81hH5Dlw7FggUVY,51.4647,-0.0509,30,95,66,20,38,96,77,40,70,60
338,TRUE,2/3/26 11:06,R_2Dwm0uwJ0GGAIMj,52.4425,-1.9442,25,75,80,30,34,40,81,35,81,72
