Date,Q,R,F,N,A,E 
11/11/2020 09:36:25,Q9,Rank2,1,30,42,12
11/11/2020 09:36:25,Q10,Rank1,1,75,62,13
11/11/2020 09:36:25,Q11,Rank2,1,76,82,6
11/11/2020 09:36:35,Q1,Rank3,1,40,20,20
11/11/2020 09:36:35,Q3,Rank3,1,60,93,33
11/11/2020 09:36:35,Q4,Rank4,1,25,76,51
11/11/2020 09:36:35,Q5,Rank5,1,25,20,5
11/11/2020 09:36:35,Q6,Rank5,1,40,68,28
11/11/2020 09:36:35,Q7,Rank6,1,45,82,37
11/11/2020 09:36:35,Q8,Rank1,1,80,77,3
11/11/2020 09:36:35,Q9,Rank2,1,40,42,2
11/11/2020 09:36:35,Q10,Rank1,1,40,62,22
11/11/2020 09:36:35,Q11,Rank2,1,80,82,2
11/11/2020 09:35:20,Q1,Rank3,1,40,20,20
11/11/2020 09:35:20,Q3,Rank3,1,100,93,7
11/11/2020 09:35:20,Q4,Rank4,1,80,76,4
11/11/2020 09:35:20,Q5,Rank5,1,20,20,0
11/11/2020 09:35:20,Q6,Rank5,1,80,68,12
11/11/2020 09:35:20,Q7,Rank6,1,92,82,10
11/11/2020 09:35:20,Q8,Rank1,1,80,77,3
11/11/2020 09:35:20,Q9,Rank2,1,47,42,5
11/11/2020 09:35:20,Q10,Rank1,1,75,62,13
11/11/2020 09:35:20,Q11,Rank2,1,76,82,6
11/11/2020 09:35:50,Q1,Rank3,1,20,20,0
11/11/2020 09:35:50,Q3,Rank3,1,92,93,1
11/11/2020 09:35:50,Q4,Rank4,1,86,76,10
11/11/2020 09:35:50,Q5,Rank5,1,6,20,14
11/11/2020 09:35:50,Q6,Rank5,1,41,68,27
11/11/2020 09:35:50,Q7,Rank6,1,46,82,36
11/11/2020 09:35:50,Q8,Rank1,1,83,77,6
11/11/2020 09:35:50,Q9,Rank2,1,44,42,2
11/11/2020 09:35:50,Q10,Rank1,1,80,62,18
11/11/2020 09:35:50,Q11,Rank2,1,76,82,6
11/11/2020 09:23:24,Q1,Rank3,1,25,20,5
11/11/2020 09:23:24,Q3,Rank3,1,100,93,7
11/11/2020 09:23:24,Q4,Rank4,1,63,76,13
11/11/2020 09:23:24,Q5,Rank5,1,55,20,35
11/11/2020 09:23:24,Q6,Rank5,1,60,68,8
11/11/2020 09:23:24,Q7,Rank6,1,45,82,37
11/11/2020 09:23:24,Q8,Rank1,1,75,77,2
11/11/2020 09:23:24,Q9,Rank2,1,40,42,2
11/11/2020 09:23:24,Q10,Rank1,1,76,62,14
11/11/2020 09:23:24,Q11,Rank2,1,14,82,68
11/11/2020 09:37:10,Q1,Rank3,1,25,20,5
11/11/2020 09:37:10,Q3,Rank3,1,100,93,7
11/11/2020 09:37:10,Q4,Rank4,1,100,76,24
11/11/2020 09:37:10,Q5,Rank5,1,20,20,0
11/11/2020 09:37:10,Q6,Rank5,1,33,68,35
11/11/2020 09:37:10,Q7,Rank6,1,45,82,37
11/11/2020 09:37:10,Q8,Rank1,1,80,77,3
11/11/2020 09:37:10,Q9,Rank2,1,30,42,12
11/11/2020 09:37:10,Q10,Rank1,1,75,62,13
11/11/2020 09:37:10,Q11,Rank2,1,75,82,7
11/11/2020 09:34:41,Q1,Rank3,1,40,20,20
11/11/2020 09:34:41,Q3,Rank3,1,85,93,8
11/11/2020 09:34:41,Q4,Rank4,1,70,76,6
11/11/2020 09:34:41,Q5,Rank5,1,65,20,45
11/11/2020 09:34:41,Q6,Rank5,1,40,68,28
11/11/2020 09:34:41,Q7,Rank6,1,40,82,42
11/11/2020 09:34:41,Q8,Rank1,1,75,77,2
11/11/2020 09:34:41,Q9,Rank2,1,40,42,2
11/11/2020 09:34:41,Q10,Rank1,1,80,62,18
11/11/2020 09:34:41,Q11,Rank2,1,75,82,7
11/11/2020 09:36:03,Q1,Rank3,1,50,20,30
11/11/2020 09:36:03,Q3,Rank3,1,100,93,7
11/11/2020 09:36:03,Q4,Rank4,1,85,76,9
11/11/2020 09:36:03,Q5,Rank5,1,20,20,0
11/11/2020 09:36:03,Q6,Rank5,1,45,68,23
11/11/2020 09:36:03,Q7,Rank6,1,45,82,37
11/11/2020 09:36:03,Q8,Rank1,1,80,77,3
11/11/2020 09:36:03,Q9,Rank2,1,40,42,2
11/11/2020 09:36:03,Q10,Rank1,1,66,62,4
11/11/2020 09:36:03,Q11,Rank2,1,83,82,1
11/11/2020 09:38:12,Q1,Rank3,1,20,20,0
11/11/2020 09:38:12,Q3,Rank3,1,100,93,7
11/11/2020 09:38:12,Q4,Rank4,1,90,76,14
11/11/2020 09:38:12,Q5,Rank5,1,20,20,0
11/11/2020 09:38:12,Q6,Rank5,1,44,68,24
11/11/2020 09:38:12,Q7,Rank6,1,42,82,40
11/11/2020 09:38:12,Q8,Rank1,1,80,77,3
11/11/2020 09:38:12,Q9,Rank2,1,34,42,8
11/11/2020 09:38:12,Q10,Rank1,1,70,62,8
11/11/2020 09:38:12,Q11,Rank2,1,70,82,12
11/11/2020 09:38:44,Q1,Rank3,1,19,20,1
11/11/2020 09:38:44,Q3,Rank3,1,34,93,59
11/11/2020 09:38:44,Q4,Rank4,1,34,76,42
11/11/2020 09:38:44,Q5,Rank5,1,15,20,5
11/11/2020 09:38:44,Q6,Rank5,1,29,68,39
11/11/2020 09:38:44,Q7,Rank6,1,40,82,42
11/11/2020 09:38:44,Q8,Rank1,1,73,77,4
11/11/2020 09:38:44,Q9,Rank2,1,39,42,3
11/11/2020 09:38:44,Q10,Rank1,1,24,62,38
11/11/2020 09:38:44,Q11,Rank2,1,30,82,52
11/11/2020 09:36:37,Q1,Rank3,1,33,20,13
11/11/2020 09:36:37,Q3,Rank3,1,91,93,2
11/11/2020 09:36:37,Q4,Rank4,1,69,76,7
11/11/2020 09:36:37,Q5,Rank5,1,40,20,20
11/11/2020 09:36:37,Q6,Rank5,1,64,68,4
11/11/2020 09:36:37,Q7,Rank6,1,50,82,32
11/11/2020 09:36:37,Q8,Rank1,1,80,77,3
11/11/2020 09:36:37,Q9,Rank2,1,33,42,9
11/11/2020 09:36:37,Q10,Rank1,1,62,62,0
11/11/2020 09:36:37,Q11,Rank2,1,62,82,20
11/11/2020 09:42:38,Q1,Rank3,1,44,20,24
11/11/2020 09:42:38,Q3,Rank3,1,46,93,47
11/11/2020 09:42:38,Q4,Rank4,1,45,76,31
11/11/2020 09:42:38,Q5,Rank5,1,29,20,9
11/11/2020 09:42:38,Q6,Rank5,1,43,68,25
11/11/2020 09:42:38,Q7,Rank6,1,48,82,34
11/11/2020 09:42:38,Q8,Rank1,1,80,77,3
11/11/2020 09:42:38,Q9,Rank2,1,32,42,10
11/11/2020 09:42:38,Q10,Rank1,1,63,62,1
11/11/2020 09:42:38,Q11,Rank2,1,68,82,14
11/11/2020 09:42:55,Q1,Rank3,1,50,20,30
11/11/2020 09:42:55,Q3,Rank3,1,90,93,3
11/11/2020 09:42:55,Q4,Rank4,1,90,76,14
11/11/2020 09:42:55,Q5,Rank5,1,15,20,5
11/11/2020 09:42:55,Q6,Rank5,1,40,68,28
11/11/2020 09:42:55,Q7,Rank6,1,45,82,37
11/11/2020 09:42:55,Q8,Rank1,1,80,77,3
11/11/2020 09:42:55,Q9,Rank2,1,40,42,2
11/11/2020 09:42:55,Q10,Rank1,1,75,62,13
11/11/2020 09:42:55,Q11,Rank2,1,45,82,37
11/11/2020 09:42:30,Q1,Rank3,1,32,20,12
11/11/2020 09:42:30,Q3,Rank3,1,65,93,28
11/11/2020 09:42:30,Q4,Rank4,1,41,76,35
11/11/2020 09:42:30,Q5,Rank5,1,19,20,1
11/11/2020 09:42:30,Q6,Rank5,1,40,68,28
11/11/2020 09:42:30,Q7,Rank6,1,46,82,36
11/11/2020 09:42:30,Q8,Rank1,1,84,77,7
11/11/2020 09:42:30,Q9,Rank2,1,31,42,11
11/11/2020 09:42:30,Q10,Rank1,1,72,62,10
11/11/2020 09:42:30,Q11,Rank2,1,61,82,21
11/11/2020 09:36:56,Q1,Rank3,1,25,20,5
11/11/2020 09:36:56,Q3,Rank3,1,20,93,73
11/11/2020 09:36:56,Q4,Rank4,1,50,76,26
11/11/2020 09:36:56,Q5,Rank5,1,20,20,0
11/11/2020 09:36:56,Q6,Rank5,1,42,68,26
11/11/2020 09:36:56,Q7,Rank6,1,46,82,36
11/11/2020 09:36:56,Q8,Rank1,1,80,77,3
11/11/2020 09:36:56,Q9,Rank2,1,35,42,7
11/11/2020 09:36:56,Q10,Rank1,1,65,62,3
11/11/2020 09:36:56,Q11,Rank2,1,65,82,17
11/11/2020 08:52:39,Q1,Rank3,0,,20,
11/11/2020 08:52:39,Q3,Rank3,0,,93,
11/11/2020 08:52:39,Q4,Rank4,0,,76,
11/11/2020 08:52:39,Q5,Rank5,0,,20,
11/11/2020 08:52:39,Q6,Rank5,0,,68,
11/11/2020 08:52:39,Q7,Rank6,0,,82,
11/11/2020 08:52:39,Q8,Rank1,0,,77,
11/11/2020 08:52:39,Q9,Rank2,0,,42,
11/11/2020 08:52:39,Q10,Rank1,0,,62,
11/11/2020 08:52:39,Q11,Rank2,0,,82,
11/11/2020 08:29:01,Q1,Rank3,0,,20,
11/11/2020 08:29:01,Q3,Rank3,0,,93,
11/11/2020 08:29:01,Q4,Rank4,0,,76,
11/11/2020 08:29:01,Q5,Rank5,0,,20,
11/11/2020 08:29:01,Q6,Rank5,0,,68,
11/11/2020 08:29:01,Q7,Rank6,0,,82,
11/11/2020 08:29:01,Q8,Rank1,0,,77,
11/11/2020 08:29:01,Q9,Rank2,0,,42,
11/11/2020 08:29:01,Q10,Rank1,0,,62,
11/11/2020 08:29:01,Q11,Rank2,0,,82,
11/11/2020 10:17:04,Q1,Rank3,0,25,20,5
11/11/2020 10:17:04,Q3,Rank3,0,100,93,7
11/11/2020 10:17:04,Q4,Rank4,0,,76,
11/11/2020 10:17:04,Q5,Rank5,0,,20,
11/11/2020 10:17:04,Q6,Rank5,0,,68,
11/11/2020 10:17:04,Q7,Rank6,0,,82,
11/11/2020 10:17:04,Q8,Rank1,0,,77,
11/11/2020 10:17:04,Q9,Rank2,0,,42,
11/11/2020 10:17:04,Q10,Rank1,0,,62,
11/11/2020 10:17:04,Q11,Rank2,0,,82,
12/11/2020 23:43:04,Q1,Rank3,0,,20,
12/11/2020 23:43:04,Q3,Rank3,0,,93,
12/11/2020 23:43:04,Q4,Rank4,0,,76,
12/11/2020 23:43:04,Q5,Rank5,0,,20,
12/11/2020 23:43:04,Q6,Rank5,0,,68,
12/11/2020 23:43:04,Q7,Rank6,0,,82,
12/11/2020 23:43:04,Q8,Rank1,0,,77,
12/11/2020 23:43:04,Q9,Rank2,0,,42,
12/11/2020 23:43:04,Q10,Rank1,0,,62,
12/11/2020 23:43:04,Q11,Rank2,0,,82,
08/02/2021 08:05:34,Q1,Rank3,1,29,20,9
08/02/2021 08:05:34,Q3,Rank3,1,92,93,1
08/02/2021 08:05:34,Q4,Rank4,1,80,76,4
08/02/2021 08:05:34,Q5,Rank5,1,22,20,2
08/02/2021 08:05:34,Q6,Rank5,1,65,68,3
08/02/2021 08:05:34,Q7,Rank6,1,87,82,5
08/02/2021 08:05:34,Q8,Rank1,1,77,77,0
08/02/2021 08:05:34,Q9,Rank2,1,30,42,12
08/02/2021 08:05:34,Q10,Rank1,1,59,62,3
08/02/2021 08:05:34,Q11,Rank2,1,81,82,1
12/02/2021 13:59:38,Q1,Rank3,1,25,20,5
12/02/2021 13:59:38,Q3,Rank3,1,80,93,13
12/02/2021 13:59:38,Q4,Rank4,1,70,76,6
12/02/2021 13:59:38,Q5,Rank5,1,18,20,2
12/02/2021 13:59:38,Q6,Rank5,1,75,68,7
12/02/2021 13:59:38,Q7,Rank6,1,40,82,42
12/02/2021 13:59:38,Q8,Rank1,1,70,77,7
12/02/2021 13:59:38,Q9,Rank2,1,40,42,2
12/02/2021 13:59:38,Q10,Rank1,1,65,62,3
12/02/2021 13:59:38,Q11,Rank2,1,90,82,8
13/02/2021 14:16:53,Q1,Rank3,1,15,20,5
13/02/2021 14:16:53,Q3,Rank3,1,90,93,3
13/02/2021 14:16:53,Q4,Rank4,1,72,76,4
13/02/2021 14:16:53,Q5,Rank5,1,19,20,1
13/02/2021 14:16:53,Q6,Rank5,1,35,68,33
13/02/2021 14:16:53,Q7,Rank6,1,45,82,37
13/02/2021 14:16:53,Q8,Rank1,1,76,77,1
13/02/2021 14:16:53,Q9,Rank2,1,31,42,11
13/02/2021 14:16:53,Q10,Rank1,1,65,62,3
13/02/2021 14:16:53,Q11,Rank2,1,59,82,23
13/02/2021 17:47:45,Q1,Rank3,1,60,20,40
13/02/2021 17:47:45,Q3,Rank3,1,90,93,3
13/02/2021 17:47:45,Q4,Rank4,1,0,76,76
13/02/2021 17:47:45,Q5,Rank5,1,15,20,5
13/02/2021 17:47:45,Q6,Rank5,1,40,68,28
13/02/2021 17:47:45,Q7,Rank6,1,45,82,37
13/02/2021 17:47:45,Q8,Rank1,1,85,77,8
13/02/2021 17:47:45,Q9,Rank2,1,40,42,2
13/02/2021 17:47:45,Q10,Rank1,1,60,62,2
13/02/2021 17:47:45,Q11,Rank2,1,60,82,22
13/02/2021 18:05:18,Q1,Rank3,1,41,20,21
13/02/2021 18:05:18,Q3,Rank3,1,4,93,89
13/02/2021 18:05:18,Q4,Rank4,1,9,76,67
13/02/2021 18:05:18,Q5,Rank5,1,24,20,4
13/02/2021 18:05:18,Q6,Rank5,1,56,68,12
13/02/2021 18:05:18,Q7,Rank6,1,45,82,37
13/02/2021 18:05:18,Q8,Rank1,1,75,77,2
13/02/2021 18:05:18,Q9,Rank2,1,34,42,8
13/02/2021 18:05:18,Q10,Rank1,1,34,62,28
13/02/2021 18:05:18,Q11,Rank2,1,50,82,32
14/02/2021 00:51:03,Q1,Rank3,1,25,20,5
14/02/2021 00:51:03,Q3,Rank3,1,35,93,58
14/02/2021 00:51:03,Q4,Rank4,1,80,76,4
14/02/2021 00:51:03,Q5,Rank5,1,15,20,5
14/02/2021 00:51:03,Q6,Rank5,1,30,68,38
14/02/2021 00:51:03,Q7,Rank6,1,45,82,37
14/02/2021 00:51:03,Q8,Rank1,1,75,77,2
14/02/2021 00:51:03,Q9,Rank2,1,25,42,17
14/02/2021 00:51:03,Q10,Rank1,1,30,62,32
14/02/2021 00:51:03,Q11,Rank2,1,40,82,42
14/02/2021 08:48:57,Q1,Rank3,1,20,20,0
14/02/2021 08:48:57,Q3,Rank3,1,85,93,8
14/02/2021 08:48:57,Q4,Rank4,1,75,76,1
14/02/2021 08:48:57,Q5,Rank5,1,20,20,0
14/02/2021 08:48:57,Q6,Rank5,1,35,68,33
14/02/2021 08:48:57,Q7,Rank6,1,45,82,37
14/02/2021 08:48:57,Q8,Rank1,1,75,77,2
14/02/2021 08:48:57,Q9,Rank2,1,30,42,12
14/02/2021 08:48:57,Q10,Rank1,1,75,62,13
14/02/2021 08:48:57,Q11,Rank2,1,65,82,17
14/02/2021 12:05:13,Q1,Rank3,1,30,20,10
14/02/2021 12:05:13,Q3,Rank3,1,50,93,43
14/02/2021 12:05:13,Q4,Rank4,1,80,76,4
14/02/2021 12:05:13,Q5,Rank5,1,17,20,3
14/02/2021 12:05:13,Q6,Rank5,1,40,68,28
14/02/2021 12:05:13,Q7,Rank6,1,48,82,34
14/02/2021 12:05:13,Q8,Rank1,1,85,77,8
14/02/2021 12:05:13,Q9,Rank2,1,28,42,14
14/02/2021 12:05:13,Q10,Rank1,1,30,62,32
14/02/2021 12:05:13,Q11,Rank2,1,43,82,39
14/02/2021 14:05:30,Q1,Rank3,1,33,20,13
14/02/2021 14:05:30,Q3,Rank3,1,62,93,31
14/02/2021 14:05:30,Q4,Rank4,1,30,76,46
14/02/2021 14:05:30,Q5,Rank5,1,20,20,0
14/02/2021 14:05:30,Q6,Rank5,1,71,68,3
14/02/2021 14:05:30,Q7,Rank6,1,80,82,2
14/02/2021 14:05:30,Q8,Rank1,1,69,77,8
14/02/2021 14:05:30,Q9,Rank2,1,40,42,2
14/02/2021 14:05:30,Q10,Rank1,1,65,62,3
14/02/2021 14:05:30,Q11,Rank2,1,41,82,41
14/02/2021 16:10:38,Q1,Rank3,1,20,20,0
14/02/2021 16:10:38,Q3,Rank3,1,80,93,13
14/02/2021 16:10:38,Q4,Rank4,1,94,76,18
14/02/2021 16:10:38,Q5,Rank5,1,14,20,6
14/02/2021 16:10:38,Q6,Rank5,1,80,68,12
14/02/2021 16:10:38,Q7,Rank6,1,81,82,1
14/02/2021 16:10:38,Q8,Rank1,1,70,77,7
14/02/2021 16:10:38,Q9,Rank2,1,56,42,14
14/02/2021 16:10:38,Q10,Rank1,1,62,62,0
14/02/2021 16:10:38,Q11,Rank2,1,60,82,22
14/02/2021 16:50:52,Q1,Rank3,1,14,20,6
14/02/2021 16:50:52,Q3,Rank3,1,60,93,33
14/02/2021 16:50:52,Q4,Rank4,1,50,76,26
14/02/2021 16:50:52,Q5,Rank5,1,14,20,6
14/02/2021 16:50:52,Q6,Rank5,1,40,68,28
14/02/2021 16:50:52,Q7,Rank6,1,35,82,47
14/02/2021 16:50:52,Q8,Rank1,1,70,77,7
14/02/2021 16:50:52,Q9,Rank2,1,14,42,28
14/02/2021 16:50:52,Q10,Rank1,1,30,62,32
14/02/2021 16:50:52,Q11,Rank2,1,59,82,23
14/02/2021 23:56:41,Q1,Rank3,1,24,20,4
14/02/2021 23:56:41,Q3,Rank3,1,86,93,7
14/02/2021 23:56:41,Q4,Rank4,1,80,76,4
14/02/2021 23:56:41,Q5,Rank5,1,12,20,8
14/02/2021 23:56:41,Q6,Rank5,1,85,68,17
14/02/2021 23:56:41,Q7,Rank6,1,90,82,8
14/02/2021 23:56:41,Q8,Rank1,1,80,77,3
14/02/2021 23:56:41,Q9,Rank2,1,45,42,3
14/02/2021 23:56:41,Q10,Rank1,1,70,62,8
14/02/2021 23:56:41,Q11,Rank2,1,60,82,22
15/02/2021 08:54:57,Q1,Rank3,1,10,20,10
15/02/2021 08:54:57,Q3,Rank3,1,25,93,68
15/02/2021 08:54:57,Q4,Rank4,1,80,76,4
15/02/2021 08:54:57,Q5,Rank5,1,45,20,25
15/02/2021 08:54:57,Q6,Rank5,1,45,68,23
15/02/2021 08:54:57,Q7,Rank6,1,45,82,37
15/02/2021 08:54:57,Q8,Rank1,1,80,77,3
15/02/2021 08:54:57,Q9,Rank2,1,50,42,8
15/02/2021 08:54:57,Q10,Rank1,1,50,62,12
15/02/2021 08:54:57,Q11,Rank2,1,60,82,22
